AccX,AccY,AccZ,Accident,Pitch,Roll,GyroX,GyroY,GyroZ
1.1324574,1.7262194,8.7053175,1,11.124591618138876,-7.271841219304257,0.19730948,0.12767084,-0.06047566
0.090979666,1.6208745,8.750807,0,10.49316779247423,-0.5857046555514375,0.19730948,0.12767084,-0.06047566
-1.5275006,0.30885202,10.603919,1,1.6513023254472705,8.193674478557776,0.19730948,0.12767084,-0.06047566
-0.45250413,0.7613561,9.974244,0,4.360581054032752,2.5900471303893755,0.19730948,0.12767084,-0.06047566
0.15083471,1.6352397,8.6334915,0,10.723546656165926,-0.9834248243007562,-0.05131268,0.014049901,-0.077579886
-0.5626374,0.8834604,9.7324295,1,5.17820515425374,3.2951016185704747,0.13194689,0.0036651916,0.15210545
-1.2425907,0.48123455,10.16578,0,2.690289602431633,6.9611292374199785,-0.0030543262,0.02443461,0.076358154
-0.08619126,1.2689269,9.174581,0,7.8742192488381315,0.5331782525275823,-0.103847094,0.021991149,-0.059253927
0.023942016,1.3144168,9.198523,1,8.132163334147279,-0.14763015163161783,0.03481932,0.0061086523,0.07147124
-1.0031705,0.7134721,9.995792,1,4.062353050441566,5.716527054157049,0.054367006,0.02565634,0.2003638
-0.92416185,0.91219085,9.574412,0,5.41733370055066,5.4886441082671125,-0.06536258,0.00061086525,0.10323623
-0.34476504,1.1971009,9.210494,0,7.400176296165031,2.1258178327753616,-0.018325957,-0.0018325958,0.02687807
-0.34715924,0.8619126,9.890448,0,4.97746332536698,2.0026986382172627,0.05497787,-0.005497787,0.1337795
-0.8858546,0.7613561,9.706094,1,4.466667374524844,5.198934645909195,-0.013439035,0.0030543262,0.17715092
-0.4285621,1.0390835,9.303867,0,6.365860840156681,2.6210666021359996,-0.047647487,0.0061086523,0.065973446
0.0023942017,0.94331545,9.555259,1,5.638091763360757,-0.014286794958205581,0.028099801,-0.007941248,0.02565634
-0.30885202,0.7661445,9.744401,1,4.493332116727938,1.8098194036496749,0.023823744,0.007330383,0.09773844
-0.35434186,0.81642276,9.406818,0,4.956803697146548,2.149161480486908,-0.04337143,0.03726278,0.10751228
-0.11731588,0.85473,9.3661175,1,5.213829597619988,0.7146549481373,-0.004276057,0.018936822,0.035430185
-0.20111294,0.7493851,9.749189,1,4.3945460500701286,1.178294091689008,0.031154128,0.014049901,-0.0018325958
-0.36391866,0.82599956,9.603143,1,4.912599518885698,2.1622540026672246,-0.016493361,0.015271631,0.01038471
-0.36391866,1.0582372,9.387665,0,6.42680638799956,2.206036722435273,-0.0061086523,0.04153884,-0.0036651916
-0.050278235,1.0175357,9.619903,1,6.037871370807418,0.29779134314790207,0.018325957,0.034208454,-0.0030543262
-0.30406362,0.90021986,9.593566,0,5.358022836985865,1.8074208532572256,0.0012217305,0.039095376,0.0036651916
