TimeStamps,Accident,Accident,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Pitch,Roll,Yaw
0.0,0,1,1.1324574,1.7262194,8.7053175,0.19730948,0.12767084,-0.06047566,11.124591618138876,-7.271841219304257,0.0
0.02,0,1,0.090979666,1.6208745,8.750807,0.19730948,0.12767084,-0.06047566,10.49316779247423,-0.5857046555514375,-0.0012095132
0.04,0,1,-1.5275006,0.30885202,10.603919,0.19730948,0.12767084,-0.06047566,1.6513023254472705,8.193674478557776,-0.0024190264
0.06,0,1,-0.45250413,0.7613561,9.974244,0.19730948,0.12767084,-0.06047566,4.360581054032752,2.5900471303893755,-0.0036285396
0.08,0,1,0.15083471,1.6352397,8.6334915,-0.05131268,0.014049901,-0.077579886,10.723546656165926,-0.9834248243007562,-0.00518013732
0.1,0,1,-0.5626374,0.8834604,9.7324295,0.13194689,0.0036651916,0.15210545,5.17820515425374,3.2951016185704747,-0.0021380283199999993
0.12,0,1,-1.2425907,0.48123455,10.16578,-0.0030543262,0.02443461,0.076358154,2.690289602431633,6.9611292374199785,-0.0006108652400000001
0.14,0,1,-0.08619126,1.2689269,9.174581,-0.103847094,0.021991149,-0.059253927,7.8742192488381315,0.5331782525275823,-0.0017959437800000012
0.16,0,1,0.023942016,1.3144168,9.198523,0.03481932,0.0061086523,0.07147124,8.132163334147279,-0.14763015163161783,-0.00036651898000000186
0.18,0,1,-1.0031705,0.7134721,9.995792,0.054367006,0.02565634,0.2003638,4.062353050441566,5.716527054157049,0.003640757019999996
0.2,0,1,-0.92416185,0.91219085,9.574412,-0.06536258,0.00061086525,0.10323623,5.41733370055066,5.4886441082671125,0.005705481619999998
0.22,0,1,-0.34476504,1.1971009,9.210494,-0.018325957,-0.0018325958,0.02687807,7.400176296165031,2.1258178327753616,0.0062430430199999975
0.24,0,1,-0.34715924,0.8619126,9.890448,0.05497787,-0.005497787,0.1337795,4.97746332536698,2.0026986382172627,0.008918633019999997
